paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
Exploiting temporal structures of cyclostationary signals for data-driven single-channel source separation,On neural architectures for deep learning-based source separation of co-channel OFDM signals,Gary CF Lee and Amir Weiss and Alejandro Lancho and Jennifer Tang and Yuheng Bu and Yury Polyanskiy and Gregory W Wornell,Gary CF Lee and Amir Weiss and Alejandro Lancho and Yury Polyanskiy and Gregory W Wornell,0.9406
Towards an Analysis of Quadratic Probing,Randomized Data Structures: New Perspectives and Hidden Surprises,William Kuszmaul and Zoe Xi,William Kuszmaul,0.9405
Randomized Data Structures: New Perspectives and Hidden Surprises,Tight Analyses of Ordered and Unordered Linear Probing,William Kuszmaul,Mark Braverman and William Kuszmaul,0.9405
On the convergence theory of gradient-based model-agnostic meta-learning algorithms,What is a good metric to study generalization of minimax learners?,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Asuman Ozdaglar and Sarath Pattathil and Jiawei Zhang and Kaiqing Zhang,0.9404
Mosaic pages: Big tlb reach with small pages,IcebergHT: High performance PMEM hash tables through stability and low associativity,Krishnan Gosakan and Jaehyun Han and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martin Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,0.9404
Beyond worst-case analysis of multicore caching strategies,Multicore Paging Algorithms Cannot Be Competitive,Shahin Kamali and Helen Xu,Helen Xu and Shahin Kamali,0.9404
All-purpose hashing,Linear probing revisited: Tombstones mark the death of primary clustering,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,0.9403
Modern hashing made simple,Tight Bounds for Classical Open Addressing,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9403
Opencilk: A modular and extensible software infrastructure for fast task-parallel code,Programming technologies for engineering quality multicore software,Tao B Schardl and I-Ting Angelina Lee,Tim Tim FS Kaler,0.9402
Space lower bounds for dynamic filters and value-dynamic retrieval,Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,William Kuszmaul and Stefan Walzer,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,0.9402
Occamnet: A fast neural model for symbolic regression at scale,Deep Learning and Symbolic Regression for Discovering Parametric Equations,Owen Dugan and Rumen Dangovski and Allan Costa and Samuel Kim and Pawan Goyal and Joseph Jacobson and Marin Soljačić,Samuel Kim and Michael Zhang and Peter Y Lu and Marin Soljacic,0.9401
Flushing without cascades,Linear probing revisited: Tombstones mark the death of primary clustering,Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,0.9401
Energy-aware neural architecture selection and hyperparameter optimization,An Analysis of Energy Requirement for Computer Vision Algorithms,Nathan C Frey and Dan Zhao and Simon Axelrod and Michael Jones and David Bestor and Vijay Gadepally and Rafael Gómez-Bombarelli and Siddharth Samsi,Daniel Edelman and Siddharth Samsi and Joseph McDonald and Adam Michaleas and Vijay Gadepally,0.9401
How hard are computer vision datasets? calibrating dataset difficulty to viewing time,Image recognition time for humans predicts adversarial vulnerability for models,David Mayo and Jesse Cummings and Xinyu Lin and Dan Gutfreund and Boris Katz and Andrei Barbu,David Mayo and Jesse Cummings and Xinyu Lin and Boris Katz and Andrei Barbu,0.9399
"Train simultaneously, generalize better: Stability of gradient-based minimax learners",Optimization and Generalization of Minimax Algorithms,Farzan Farnia and Asuman Ozdaglar,Sarath Pattathil,0.9397
All-purpose hashing,IcebergHT: high performance hash tables through stability and low associativity,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Prashant Pandey and Michael A Bender and Alex Conway and Martin Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,0.9397
On the optimal time/space tradeoff for hash tables,Randomized Data Structures: New Perspectives and Hidden Surprises,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul and Mingmou Liu,William Kuszmaul,0.9396
Counting permutations modulo pattern-replacement equivalences for three-letter patterns,New results on doubly adjacent pattern-replacement equivalences,William Kuszmaul,William Kuszmaul,0.9396
On the convergence theory of debiased model-agnostic meta-reinforcement learning,Redeeming intrinsic rewards via constrained policy optimization,Alireza Fallah and Kristian Georgiev and Aryan Mokhtari and Asuman Ozdaglar,Eric R Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,0.9395
Linear probing revisited: Tombstones mark the death of primary clustering,Randomized Data Structures: New Perspectives and Hidden Surprises,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,William Kuszmaul,0.9394
Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Mosaic Pages: Big TLB Reach with Small,William Kuszmaul,AMD Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Evan West and Michael A Bender and Abhishek Bhattacharjee and Martín Farach-Colton,0.9394
"Ai-enabling workloads on large-scale gpu-accelerated system: characterization, opportunities, and implications",Using Multi-Instance GPU for Efficient Operation of Multi-Tenant GPU Clusters,Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron and John Holodnak and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Peter Michaleas and Joseph McDonald and Lauren Milechin and Julie Mullen and Andrew Prout and Benjamin Price and Albert Reuther and Antonio Rosa and Matthew Weiss and Charles Yee and Daniel Edelman and Allan Vanterpool and Anson Cheng and Vijay Gadepally and Devesh Tiwari,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9393
The one-way communication complexity of dynamic time warping distance,Approximating dynamic time warping distance between run-length encoded strings,Vladimir Braverman and Moses Charikar and William Kuszmaul and David P Woodruff and Lin F Yang,Zoe Xi and William Kuszmaul,0.9393
Linear probing revisited: Tombstones mark the death of primary clustering,What Does Dynamic Optimality Mean in External Memory?,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Michael A Bender and Martín Farach-Colton and William Kuszmaul,0.9393
Programming technologies for engineering quality multicore software,Speedcode: Software Performance Engineering Education via the Coding of Didactic Exercises,Tim Tim FS Kaler,Tim Kaler and Xuhao Chen and Brian Wheatman and Dorothy Curtis and Bruce Hoppe and Tao B Schardl and Charles E Leiserson,0.9393
Geosynchronous satellite behavior classification via unsupervised machine learning,Geosynchronous satellite pattern of life node detection and classification,Thomas G Roberts and Haley E Solera and Richard Linares,Haley E Solera and Thomas G Roberts and Richard Linares,0.9392
Graphblas on the edge: Anonymized high performance streaming of network traffic,Large scale enrichment and statistical cyber characterization of network traffic,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,Ivan Kawaminami and Arminda Estrada and Youssef Elsakkary and Hayden Jananthan and Aydin Buluç and Tim Davis and Daniel Grant and Michael Jones and Chad Meiners and Andrew Morris and Sandeep Pisharody and Jeremy Kepner,0.9392
Understanding and increasing efficiency of frank-wolfe adversarial training,Understanding reconstruction attacks with the neural tangent kernel and dataset distillation,Theodoros Tsiligkaridis and Jay Roberts,Noel Loo and Ramin Hasani and Mathias Lechner and Alexander Amini and Daniela Rus,0.9391
Intentional creation of carbon-rich dark earth soils in the Amazon,Widespread Amazonian dark earth in the Xingu Indigenous Territory,Morgan J Schmidt and Samuel L Goldberg and Michael Heckenberger and Carlos Fausto and Bruna Franchetto and Jennifer Watling and Helena Lima and Bruno Moraes and Wetherbee B Dorshow and Joshua Toney and Yamalui Kuikuro and Kumessi Waura and Huke Kuikuro and Taku Wate Kuikuro and Takumã Kuikuro and Yahila Kuikuro and Afukaka Kuikuro and Wenceslau Teixeira and Bruna Rocha and Vinicius Honorato and Hugo Tavares and Marcos Magalhães and Carlos Augusto Barbosa and João Aires Da Fonseca and Kelton Mendes and Luís Reynaldo Ferracciú Alleoni and Carlos Eduardo Pellegrino Cerri and Manuel Arroyo-Kalin and Eduardo Neves and J Taylor Perron,Samuel L Goldberg and Morgan J Schmidt and Joshua D Himmelstein and Michael Heckenberger and Bruna Franchetto and Helena Lima and Jennifer Watling and Bruno Moraes and Wetherbee B Dorshow and Carlos Fausto and Kumessi Waura and Huke Kuikuro and Taku Wate Kuikuro and Afukaka Kuikuro and J Taylor Perron,0.939
AbstractDifferentiation. jl: Backend-agnostic differentiable programming in Julia,A Short Review of Automatic Differentiation Pitfalls in Scientific Computing,Frank Schäfer and Mohamed Tarek and Lyndon White and Chris Rackauckas,Jan Hueckelheim and Harshitha Menon and William S Moses and Bruce Christianson and Paul Hovland and Laurent Hascoet,0.939
"On estimating edit distance: Alignment, dimension reduction, and embeddings",Efficiently approximating edit distance between pseudorandom strings,Moses Charikar and Ofir Geri and Michael P Kim and William Kuszmaul,William Kuszmaul,0.9389
Understanding and increasing efficiency of frank-wolfe adversarial training,Revisiting the adversarial robustness-accuracy tradeoff in robot learning,Theodoros Tsiligkaridis and Jay Roberts,Mathias Lechner and Alexander Amini and Daniela Rus and Thomas A Henzinger,0.9388
Treeline: an update-in-place key-value store for modern storage,BP-Tree: overcoming the point-range operation tradeoff for in-memory B-trees,Geoffrey X Yu and Markos Markakis and Andreas Kipf and Per-Åke Larson and Umar Farooq Minhas and Tim Kraska,Helen Xu and Amanda Li and Brian Wheatman and Manoj Marneni and Prashant Pandey,0.9387
Iceberg hashing: Optimizing many hash-table criteria at once,History-Independent Dynamic Partitioning: Operation-Order Privacy in Ordered Data Structures,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Martín Farach-Colton and Michael T Goodrich and Hanna Komlós,0.9387
Understanding reconstruction attacks with the neural tangent kernel and dataset distillation,On frank-wolfe adversarial training,Noel Loo and Ramin Hasani and Mathias Lechner and Alexander Amini and Daniela Rus,Theodoros Tsiligkaridis and Jay Roberts,0.9387
Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,Optimal Bounds for Open Addressing Without Reordering,William Kuszmaul and Michael Mitzenmacher,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9387
Clover: Toward sustainable ai with carbon-aware machine learning inference service,Building heterogeneous cloud system for machine learning inference,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9386
BP-Tree: overcoming the point-range operation tradeoff for in-memory B-trees,BP-Tree: Overcoming the Point-Range Operation Tradeoff for In-Memory B⁺-trees,Helen Xu and Amanda Li and Brian Wheatman and Manoj Marneni and Prashant Pandey,Amanda Li,0.9386
Serving machine learning inference using heterogeneous hardware,Building heterogeneous cloud system for machine learning inference,Baolin Li and Vijay Gadepally and Siddharth Samsi and Mark Veillette and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9386
Opencilk: A modular and extensible software infrastructure for fast task-parallel code,Provably and Practically Efficient Race Detection for Task-Parallel Code,Tao B Schardl and I-Ting Angelina Lee,Yifan Xu,0.9384
Shared interest: Measuring human-ai alignment to identify recurring patterns in model behavior,Saliency cards: A framework to characterize and compare saliency methods,Angie Boggust and Benjamin Hoover and Arvind Satyanarayan and Hendrik Strobelt,Angie Boggust and Harini Suresh and Hendrik Strobelt and John Guttag and Arvind Satyanarayan,0.9383
Scalable deep learning for pilot performance analysis using multimodal physiological time series,Efficient deep learning on wearable physiological sensor data for pilot flight performance analysis,Noah Lee and Patrick W Moore and Laura J Brattain,Patrick W Moore and Hrishikesh M Rao and Christine Beauchene and Emilie Cowen and Sophia Yuditskaya and Thomas Heldt and Laura J Brattain,0.9383
Tsunami: A learned multi-dimensional index for correlated data and skewed workloads,Lea: A learned encoding advisor for column stores,Jialin Ding and Vikram Nathan and Mohammad Alizadeh and Tim Kraska,Lujing Cen and Andreas Kipf and Ryan Marcus and Tim Kraska,0.9382
Miso: exploiting multi-instance gpu capability on multi-tenant gpu clusters,"Ai-enabling workloads on large-scale gpu-accelerated system: characterization, opportunities, and implications",Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron and John Holodnak and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Peter Michaleas and Joseph McDonald and Lauren Milechin and Julie Mullen and Andrew Prout and Benjamin Price and Albert Reuther and Antonio Rosa and Matthew Weiss and Charles Yee and Daniel Edelman and Allan Vanterpool and Anson Cheng and Vijay Gadepally and Devesh Tiwari,0.9381
BrainBERT: Self-supervised representation learning for intracranial recordings,Population Transformer: Learning population-level representations of neural activity,Christopher Wang and Vighnesh Subramaniam and Adam Uri Yaari and Gabriel Kreiman and Boris Katz and Ignacio Cases and Andrei Barbu,Geeling Chau and Christopher Wang and Sabera Talukder and Vighnesh Subramaniam and Saraswati Soedarmadji and Yisong Yue and Boris Katz and Andrei Barbu,0.9381
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",Keynote talk: large scale parallel sparse matrix streaming graph/network analysis,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Jeremy Kepner,0.938
Pce-pinns: Physics-informed neural networks for uncertainty propagation in ocean modeling,Spectral pinns: Fast uncertainty propagation with physics-informed neural networks,Björn Lütjens and Catherine H Crawford and Mark Veillette and Dava Newman,Björn Lütjens and Catherine H Crawford and Mark Veillette and Dava Newman,0.9379
Tiny pointers,Modern hashing made simple,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,0.9378
Green paging and parallel paging,Online parallel paging with optimal makespan,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,0.9378
Deployment of real-time network traffic analysis using GraphBLAS hypersparse matrices and D4M associative arrays,"Vertical, temporal, and horizontal scaling of hierarchical hypersparse graphblas matrices",Michael Jones and Jeremy Kepner and Andrew Prout and Timothy Davis and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Sandeep Pisharody and Albert Reuther and Antonio Rosa and Siddharth Samsi and Charles Yee and Peter Michaleas,Jeremy Kepner and Tim Davis and Chansup Byun and William Arcand and David Bestor and William Bergeron and Vijay Gadepally and Michael Houle and Matthew Hubbell and Michael Jones and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Charles Yee and Peter Michaleas,0.9378
Phase: Physically-grounded abstract social events for machine social perception,Zero-shot linear combinations of grounded social interactions with Linear Social MDPs,Aviv Netanyahu and Tianmin Shu and Boris Katz and Andrei Barbu and Joshua B Tenenbaum,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Bennett Stankovits and Dan Gutfreund and Joshua B Tenenbaum and Boris Katz and Andrei Barbu,0.9377
Closed-form continuous-time neural networks,Continuous deep equilibrium models: Training neural odes faster by integrating them to infinity,Ramin Hasani and Mathias Lechner and Alexander Amini and Lucas Liebenwein and Aaron Ray and Max Tschaikowski and Gerald Teschl and Daniela Rus,Avik Pal and Alan Edelman and Chris Rackauckas,0.9376
Data-driven blind synchronization and interference rejection for digital communication signals,The data-driven radio frequency signal separation challenge,Alejandro Lancho and Amir Weiss and Gary CF Lee and Jennifer Tang and Yuheng Bu and Yury Polyanskiy and Gregory W Wornell,Tejas Jayashankar and Binoy Kurien and Alejandro Lancho and Gary CF Lee and Yury Polyanskiy and Amir Weiss and Gregory W Wornell,0.9375
Graphblas on the edge: Anonymized high performance streaming of network traffic,What is Normal? A Big Data Observational Science Model of Anonymized Internet Traffic,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,Jeremy Kepner and Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Peter Michaleas,0.9375
Linear probing revisited: Tombstones mark the death of primary clustering,Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,William Kuszmaul,0.9375
From words to watts: Benchmarking the energy costs of large language model inference,Llm inference serving: Survey of recent advances and opportunities,Siddharth Samsi and Dan Zhao and Joseph McDonald and Baolin Li and Adam Michaleas and Michael Jones and William Bergeron and Jeremy Kepner and Devesh Tiwari and Vijay Gadepally,Baolin Li and Yankai Jiang and Vijay Gadepally and Devesh Tiwari,0.9374
Kairos: Building cost-efficient machine learning inference systems with heterogeneous cloud resources,Serving machine learning inference using heterogeneous hardware,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Vijay Gadepally and Siddharth Samsi and Mark Veillette and Devesh Tiwari,0.9374
Graphblas on the edge: Anonymized high performance streaming of network traffic,Anonymized Network Sensing Graph Challenge,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Peter Michaleas and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Jeremy Kepner,0.9373
Mapping of Internet “Coastlines” via Large Scale Anonymized Network Source Correlations,Anonymized Network Sensing Graph Challenge,Hayden Jananthan and Jeremy Kepner and Michael Jones and William Arcand and David Bestor and William Bergeron and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentl and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Gabriel Wachman and Charles Yee and Peter Michaleas,Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Peter Michaleas and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Jeremy Kepner,0.9373
Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Mosaic Pages: Big TLB Reach with Small,William Kuszmaul,AMD Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Evan West and Michael A Bender and Abhishek Bhattacharjee and Martín Farach-Colton,0.9373
Continuous deep equilibrium models: Training neural odes faster by integrating them to infinity,Locally regularized neural differential equations: Some black boxes were meant to remain closed!,Avik Pal and Alan Edelman and Chris Rackauckas,Avik Pal and Alan Edelman and Christopher Vincent Rackauckas,0.9372
Fast training of deep neural networks robust to adversarial perturbations,Robustaugmix: Joint optimization of natural and adversarial robustness,Justin Goodwin and Olivia Brown and Victoria Helus,Josue Martinez-Martinez and Olivia Brown,0.9372
Modern hashing made simple,Optimal Non-Oblivious Open Addressing,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9372
Barriernet: A safety-guaranteed layer for neural networks,On the forward invariance of neural odes,Wei Xiao and Ramin Hasani and Xiao Li and Daniela Rus,Wei Xiao and Tsun-Hsuan Wang and Ramin Hasani and Mathias Lechner and Yutong Ban and Chuang Gan and Daniela Rus,0.9371
Foundations of spatial perception for robotics: Hierarchical representations and real-time systems,Hydra: A real-time spatial perception engine for 3d scene graph construction and optimization,Nathan Hughes and Yun Chang and Siyi Hu and Rajat Talak and Rumaia Abdulhai and Jared Strader and Luca Carlone,Nathan Hughes and Yun Chang and Luca Carlone,0.937
Dynamic time warping in strongly subquadratic time: Algorithms for the low-distance regime and approximate evaluation,The one-way communication complexity of dynamic time warping distance,William Kuszmaul,Vladimir Braverman and Moses Charikar and William Kuszmaul and David P Woodruff and Lin F Yang,0.937
Distributionally adaptive meta reinforcement learning,Beyond uniform sampling: Offline reinforcement learning with imbalanced datasets,Anurag Ajay and Abhishek Gupta and Dibya Ghosh and Sergey Levine and Pulkit Agrawal,Zhang-Wei Hong and Aviral Kumar and Sathwik Karnik and Abhishek Bhandwaldar and Akash Srivastava and Joni Pajarinen and Romain Laroche and Abhishek Gupta and Pulkit Agrawal,0.937
Incremental edge orientation in forests,Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,Michael A Bender and Tsvi Kopelowitz and William Kuszmaul and Ely Porat and Clifford Stein,William Kuszmaul and Michael Mitzenmacher,0.937
Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,Supercharging Programming through Compiler Technology,William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,William S Moses,0.9369
Flushing without cascades,Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,William Kuszmaul,0.9369
Efficient access history for race detection,Provably and Practically Efficient Race Detection for Task-Parallel Code,Yifan Xu and Anchengcheng Zhou and Grace Q Yin and Kunal Agrawal and I-Ting Angelina Lee and Tao B Schardl,Yifan Xu,0.9369
From imagenet to image classification: Contextualizing progress on benchmarks,How hard are computer vision datasets? calibrating dataset difficulty to viewing time,Dimitris Tsipras and Shibani Santurkar and Logan Engstrom and Andrew Ilyas and Aleksander Madry,David Mayo and Jesse Cummings and Xinyu Lin and Dan Gutfreund and Boris Katz and Andrei Barbu,0.9368
On the optimal time/space tradeoff for hash tables,Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul and Mingmou Liu,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,0.9368
Treeline: an update-in-place key-value store for modern storage,Mosaic pages: Big tlb reach with small pages,Geoffrey X Yu and Markos Markakis and Andreas Kipf and Per-Åke Larson and Umar Farooq Minhas and Tim Kraska,Krishnan Gosakan and Jaehyun Han and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martin Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,0.9368
Clover: Toward sustainable ai with carbon-aware machine learning inference service,Kairos: Building cost-efficient machine learning inference systems with heterogeneous cloud resources,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9366
Clover: Toward sustainable ai with carbon-aware machine learning inference service,Interventions to Reduce AI Energy Requirements,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Daniel Edelman and Joseph McDonald and David Bestor and Michael Jones and Baolin Li and Devesh Tiwari and Dan Zhao and Siddharth Samsi and Vijay Gadepally,0.9366
Redeeming intrinsic rewards via constrained optimization,On the convergence theory of debiased model-agnostic meta-reinforcement learning,Eric Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,Alireza Fallah and Kristian Georgiev and Aryan Mokhtari and Asuman Ozdaglar,0.9366
"A hash table without hash functions, and how to get the most out of your random bits",Randomized Data Structures: New Perspectives and Hidden Surprises,William Kuszmaul,William Kuszmaul,0.9366
Provably convergent policy gradient methods for model-agnostic meta-reinforcement learning,Redeeming intrinsic rewards via constrained policy optimization,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Eric R Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,0.9364
Sustainable supercomputing for ai: Gpu power capping at hpc scale,Interventions to Reduce AI Energy Requirements,Dan Zhao and Siddharth Samsi and Joseph McDonald and Baolin Li and David Bestor and Michael Jones and Devesh Tiwari and Vijay Gadepally,Daniel Edelman and Joseph McDonald and David Bestor and Michael Jones and Baolin Li and Devesh Tiwari and Dan Zhao and Siddharth Samsi and Vijay Gadepally,0.9364
Technical report on data integration and preparation,Technical Report on Data Integration and Preparation,El Kindi Rezig and Michael Cafarella and Vijay Gadepally,Michael Cafarella El Kindi Rezig and Vijay Gadepally,0.9364
Towards practical learned indexing,Learned String Index Structures for In-Memory Databases,Mihail Stoian and Andreas Kipf and Ryan Marcus and Tim Kraska,Benjamin Spector,0.9363
Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,PARAD: A Work-Efficient Parallel Algorithm for Reverse-Mode Automatic Differentiation∗,William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,Tim Kaler and Tao B Schardl and Brian Xie and Charles E Leiserson and Jie Chen and Aldo Pareja and Georgios Kollias,0.9363
